Place_Id,Place_Name,Place_Ratings,Description,City,Category,Image
344,Pantai Marina,2,"Pantai Marina (bahasa Jawa: ꦥꦱꦶꦱꦶꦂ​ꦩꦫꦶꦤ, translit. Pasisir Marina) adalah salah satu objek wisata pantai yang berada di kota Semarang, Jawa Tengah. Pantai ini menyimpan pemandangan eksotis khas kota Semarang. Dahulu, tempat ini merupakan hutan bakau dan tambak, tapi pemerintah setempat mengubahnya menjadi tempat rekreasi dengan cara reklamasi daratan. Hasil reklamasi dari hutan bakau ini, sekarang berupa perumahan, pertokoan, dan perkantoran, di sebelah selatan pantai.
",Semarang,Bahari,https://storage.googleapis.com/semaroam-photos/344_Pantai%20Marina.jpg
373,Museum Kereta Ambarawa,3,"Museum Kereta Api Ambarawa (bahasa Inggris: Indonesian Railway Museum, Ambarawa) adalah sebuah stasiun kereta api yang sudah dialihfungsikan menjadi sebuah museum serta merupakan museum perkeretaapian pertama di Indonesia. Museum ini memiliki koleksi kereta api yang pernah berjaya pada zamannya. Museum ini secara administratif berada di Desa Panjang, Ambarawa, Semarang. Museum yang terletak pada ketinggian +474,40 meter ini termasuk dalam Daerah Operasi IV Semarang dan dikelola oleh Unit Pusat Pelestarian dan Desain Arsitektur PT Kereta Api Indonesia bekerja sama dengan Pemerintah Provinsi Jawa Tengah.",Semarang,Budaya,https://storage.googleapis.com/semaroam-photos/373_Museum%20Kereta%20Ambarawa.png
336,Grand Maerakaca,4,"Masyarakat Jawa Tengah mungkin sudah tidak asing dengan nama “Puri Maerokoco”. Taman wisata ini merupakan “Taman Mini” versi Jawa Tengah yang menyajikan replika dan miniatur bangunan khas dari berbagai daerah di Jawa Tengah. Saat ini, Puri Maerakaca sudah berganti nama menjadi Grand Maerakaca. Dengan wahana yang lebih bervariasi, taman rekreasi ini menjadi salah satu destinasi wisata di Semarang yang cocok untuk rekreasi keluarga.",Semarang,Taman Hiburan,https://storage.googleapis.com/semaroam-photos/336_Grand%20Maerakaca.jpg
371,Wisata Eling Bening,3,"Sebuah fasilitas wisata yang dikelola dengan cara modern, untuk menimbulkan kenikmatan berwisata seperti halnya yang diinginkan oleh anak-anak muda. Namun tetap menyatu dengan lingkungan, dengan keindahan alam. Tanpa melakukan kerusakan terhadap alam. Fasilitas wisata ini adalah wisata Eling Bening di perbukitan Ngrawan. Eling Bening sejatinya sebuah Restoran yang mengusung konsep wisata keluarga. Eling Bening menawarkan pemandangan alam yang sangat indah dengan view utama Rawa Pening. Keindahan itu disempurnakan lagi dengan  adanya background Gunung Merbabu, Andong dan Telomoyo, yang terlihat berdiri dengan gagah.
",Semarang,Cagar Alam,https://storage.googleapis.com/semaroam-photos/371_Wisata%20Eling%20Bening.jpg
389,Brown Canyon,2,"Di Indonesia, Brown Canyon adalah sebuah bekas penambangan tanah di Meteseh, Tembalang, Semarang. Lokasi ini menjadi salah satu lokasi (bukan tempat wisata) yang populer di Semarang dan dianggap mirip dengan Grand Canyon di Amerika Serikat. Kemiripan ini terletak pada bukit-bukit yang berubah menjadi tebing-tebing curam.",Semarang,Cagar Alam,https://storage.googleapis.com/semaroam-photos/389_Brown%20Canyon.jpg
384,Kampung Tematik Jawi,5,"Tak dipungkiri lagi kalau Kampung Jawi Gunungpati Semarang memang sudah viral bahkan banyak dikunjungi masyarakat. Padahal wisata kuliner ini berawal dari kampung kecil, namun kini sudah banyak didatangi baik dari penduduk lokal hingga luar kota. Ketenaran pun kini juga kerap menghiasi lama sosmed. Saat mengunjungi Kampung Jawi Gunungpati ini kamu bisa merasakan atmosfer pedesaan tempo dulu. Selain itu, nuansa malam juga damai dan malam plus pencahayaan yang remang-remang, karena memang pakai lampu Sentir (lampu minyak). Jadi asik banget kalau untuk nongkrong lama-lama.",Semarang,Budaya,https://storage.googleapis.com/semaroam-photos/384_Kampung%20Tematik%20Jawi.jpg
390,Durian Gardens and Tourism Education Watu Simbar,2,"Perlu diketahui, watu simbar ini merupakan lokasi wisata yang menawarkan edukasi dari berbagai macam pohon durian. Walaupun terkesan biasa saja, hal tersebut lah yang sebenarnya menjadi keunikan tempat ini. Apabila seseorang datang kemari, orang tersebut akan bisa mempelajari banyak hal tentang pohon durian. Selain bisa mempelejari berbagai macam hal tentang pohon durian tersebut, tentu lah para pengunjung pun bisa membeli durian yang berada disana.",Semarang,Cagar Alam,https://storage.googleapis.com/semaroam-photos/390_Durian%20Gardens%20and%20Tourism%20Education%20Watu%20Simbar.jpg
367,Wisata Lereng Kelir,2,Wisata yang ada di kawasan gunung Kelir ini memang mulai populer sejak awal tahun 2021 dan para wisatawan kerap berbondong-bondong menuju kesana untuk meredam rasa penasaran tentang destinasi baru tersebut. Gunung Kelir memiliki ketinggian lebih dari 2000 mdpl dan wisata Lereng kelir berada diatas ketinggian mencapai 1384 mdpl dan 700mdpl Dari ketinggian tersebut membuat hampir seluruh kawasan kota Ambarawa bisa terlihat dan sebagian kecil wilayah Semarang selatan. Wisata gardu pandang Lereng Kelir memang bisa dikatakan lebih tinggi dari tempat wisata gardu pandang lainnya yang ada di Jawa Tengah.,Semarang,Cagar Alam,https://storage.googleapis.com/semaroam-photos/367_Wisata%20Lereng%20Kelir.png
382,Kampoeng Kopi Banaran,2,"Kampoeng Kopi Banaran, sebuah agro wisata perkebunan kopi di Kabupaten Semarang. Tempat wisata ini memiliki luas 462 hektar yang sebagian dijadikan resort dan tempat wisata. Lokasinya berada di Areal Perkebunan Kopi Kebun Getas Afdeling Assinan tepatnya Jl. Raya Semarang – Solo Km. 35. Lokasi Kampoeng Kopi Banaran yang berada di ketinggian 480 – 600m dpl membuat suhu udara disana sejuk antara 23ºC – 27ºC. Jadi cocok banget buat pelesir mencari udara dingin dan segar dengan pemandangan indah. Menghilangkan penat kesibukan Kota besar, di tengah perkebunan yang asri.",Semarang,Taman Hiburan,https://storage.googleapis.com/semaroam-photos/382_Kampoeng%20Kopi%20Banaran.jpg
376,Semarang Chinatown,2,"Terbentuknya Pecinan Semarang tak terlepas dari Geger Pecinan di Batavia (Jakarta tempo dulu) pada 1740. Kala itu warga Tionghoa memberontak pada penguasa Belanda. Buntut dari tragedi tersebut, banyak penduduk keturunan Tiongkok melarikan diri ke sepanjang pantai utara Jawa hingga akhirnya sampai di Semarang. Hingga 1743, pemberontakan masih terus berlangsung hingga akhirnya mampu dihentikan total oleh tentara Belanda. Pemerintah kolonial lantas memutuskan untuk mengumpulkan warga Tionghoa dalam satu lokasi. Setelah sempat menempati daerah Simongan dekat Klenteng Sam Poo Kong, mereka kemudian dipindah ke Kali Semarang hingga akhirnya dikenal sebagai kawasan Pecinan sampai sekarang.",Semarang,Budaya,https://storage.googleapis.com/semaroam-photos/376_Semarang%20Chinatown.jpg
