Freq,Posting_ptr,Terms_ptr
2,"[2, 29]",0
2,"[30, 30]",4
9,"[10, 11, 6, 35, 14, 4, 28, 35, 36]",9
7,"[37, 33, 15, 18, 27, 35, 30]",12
2,"[9, 17]",18
1,[34],27
1,[1],36
1,[7],41
3,"[32, 32, 18]",50
20,"[13, 16, 13, 24, 31, 30, 37, 21, 13, 13, 30, 23, 17, 21, 19, 5, 3, 21, 19, 17]",54
1,[17],57
1,[4],63
1,[13],66
6,"[34, 35, 21, 14, 23, 17]",70
3,"[9, 33, 34]",74
1,[27],79
1,[13],88
1,[28],93
1,[9],102
7,"[30, 0, 30, 30, 33, 16, 31]",105
3,"[16, 30, 34]",109
1,[14],114
1,[4],118
1,[30],121
1,[27],131
15,"[20, 20, 30, 20, 20, 26, 22, 26, 12, 26, 12, 26, 12, 26, 12]",135
11,"[18, 17, 23, 23, 27, 27, 9, 24, 36, 36, 5]",143
2,"[18, 34]",147
7,"[31, 21, 29, 29, 16, 16, 21]",150
4,"[32, 16, 27, 5]",154
1,[15],159
1,[16],164
1,[29],172
2,"[18, 16]",177
1,[15],183
2,"[35, 33]",192
2,"[3, 4]",197
3,"[20, 20, 20]",200
6,"[24, 29, 31, 30, 22, 36]",203
2,"[16, 37]",207
1,[23],211
5,"[17, 17, 17, 17, 17]",216
1,[35],220
2,"[26, 35]",233
1,[29],243
1,[15],250
2,"[7, 15]",257
1,[27],261
1,[12],266
1,[11],274
1,[2],279
3,"[21, 6, 20]",283
6,"[3, 10, 25, 28, 21, 37]",287
2,"[16, 16]",291
4,"[10, 28, 34, 24]",298
1,[1],301
2,"[5, 14]",305
1,[5],308
1,[14],312
1,[35],318
1,[10],319
1,[34],322
1,[19],327
1,[10],335
7,"[31, 36, 28, 22, 27, 27, 36]",344
4,"[2, 2, 22, 21]",348
1,[16],354
2,"[29, 19]",359
1,[12],365
1,[21],371
1,[7],375
1,[37],380
4,"[35, 35, 35, 35]",388
2,"[21, 16]",396
1,[10],401
5,"[18, 18, 18, 18, 18]",404
6,"[7, 15, 28, 28, 28, 34]",411
1,[9],420
1,[26],426
5,"[29, 33, 27, 26, 20]",432
1,[10],440
8,"[11, 34, 11, 28, 28, 4, 22, 36]",448
1,[30],454
3,"[25, 14, 2]",459
1,[15],468
2,"[26, 35]",479
2,"[17, 3]",485
2,"[9, 5]",490
2,"[14, 13]",496
1,[6],500
1,[6],505
2,"[10, 10]",512
1,[24],517
4,"[9, 18, 32, 18]",522
1,[16],527
4,"[16, 9, 18, 23]",535
1,[21],543
1,[2],547
1,[20],553
1,[1],560
2,"[19, 19]",566
1,[32],572
1,[16],577
1,[26],584
5,"[34, 5, 27, 14, 15]",590
2,"[16, 15]",596
1,[29],603
2,"[37, 29]",610
6,"[1, 27, 36, 24, 26, 28]",617
1,[33],625
1,[1],633
1,[17],641
2,"[23, 21]",647
1,[16],654
1,[1],662
1,[2],671
1,[37],682
1,[1],692
2,"[8, 22]",702
1,[5],708
2,"[3, 14]",716
2,"[30, 25]",723
1,[29],731
1,[26],740
1,[27],748
2,"[0, 29]",756
1,[34],764
1,[30],773
1,[25],783
1,[21],790
2,"[28, 19]",797
3,"[18, 9, 13]",806
1,[13],813
2,"[26, 36]",821
1,[32],828
1,[28],837
1,[18],848
5,"[3, 10, 7, 33, 1]",856
1,[14],863
1,[10],872
1,[5],881
1,[17],890
1,[21],899
2,"[30, 17]",909
1,[8],915
1,[9],924
1,[6],929
1,[14],937
2,"[25, 7]",941
1,[16],946
2,"[25, 25]",954
1,[36],959
1,[32],964
3,"[21, 21, 21]",969
2,"[5, 7]",977
1,[24],982
1,[1],990
1,[30],997
19,"[27, 6, 6, 13, 9, 28, 27, 6, 13, 4, 10, 11, 7, 29, 10, 5, 5, 0, 13]",1001
1,[17],1005
4,"[37, 37, 37, 37]",1012
1,[28],1020
3,"[2, 2, 2]",1024
1,[34],1033
4,"[32, 32, 32, 24]",1039
1,[4],1043
1,[27],1047
3,"[30, 26, 16]",1053
4,"[17, 17, 17, 36]",1059
4,"[25, 25, 25, 27]",1063
1,[25],1068
1,[30],1078
1,[16],1083
2,"[22, 12]",1090
6,"[15, 15, 15, 15, 15, 15]",1095
1,[1],1100
1,[28],1106
1,[28],1115
1,[2],1118
1,[0],1129
16,"[11, 15, 2, 29, 29, 29, 2, 29, 29, 2, 29, 2, 2, 29, 2, 2]",1136
1,[21],1141
1,[16],1150
4,"[13, 4, 9, 4]",1156
2,"[6, 6]",1160
1,[10],1165
4,"[15, 15, 15, 15]",1171
1,[34],1178
2,"[24, 32]",1187
1,[36],1193
1,[36],1200
4,"[36, 36, 36, 36]",1209
3,"[25, 25, 25]",1215
4,"[23, 23, 17, 17]",1220
3,"[18, 27, 36]",1222
3,"[5, 7, 6]",1224
6,"[31, 27, 31, 27, 28, 24]",1230
1,[18],1235
5,"[36, 36, 36, 36, 36]",1241
1,[35],1248
1,[24],1251
2,"[18, 28]",1258
1,[36],1268
1,[18],1274
8,"[28, 29, 29, 8, 21, 25, 17, 17]",1279
1,[2],1284
2,"[11, 7]",1291
1,[19],1295
17,"[13, 37, 13, 19, 19, 19, 21, 37, 21, 21, 21, 13, 16, 21, 37, 37, 31]",1300
1,[0],1305
1,[36],1309
2,"[1, 37]",1310
1,[28],1316
2,"[19, 26]",1322
73,"[24, 21, 27, 29, 27, 27, 27, 17, 25, 17, 29, 28, 24, 10, 10, 28, 17, 17, 28, 24, 13, 18, 18, 20, 16, 16, 33, 23, 24, 32, 24, 27, 14, 15, 30, 28, 30, 16, 31, 22, 12, 33, 26, 31, 14, 23, 27, 21, 16, 32, 16, 27, 23, 18, 20, 35, 36, 35, 2, 35, 0, 36, 34, 34, 37, 35, 4, 36, 5, 34, 5, 36, 35]",1327
2,"[5, 5]",1330
16,"[33, 16, 4, 20, 16, 32, 37, 36, 26, 36, 18, 29, 33, 36, 22, 35]",1336
31,"[11, 8, 12, 32, 30, 7, 6, 26, 30, 15, 9, 33, 1, 27, 37, 21, 23, 20, 24, 28, 27, 25, 19, 17, 29, 29, 17, 34, 36, 29, 37]",1341
4,"[4, 16, 5, 15]",1345
1,[34],1351
1,[5],1358
2,"[7, 6]",1362
1,[20],1365
1,[1],1370
2,"[21, 29]",1375
35,"[31, 30, 22, 36, 0, 26, 15, 23, 24, 21, 21, 26, 28, 23, 32, 27, 35, 13, 17, 31, 2, 13, 33, 34, 14, 17, 13, 13, 10, 23, 37, 28, 32, 33, 20]",1383
1,[16],1389
23,"[17, 30, 15, 31, 33, 16, 16, 1, 13, 16, 21, 37, 16, 20, 1, 19, 3, 25, 16, 3, 2, 14, 34]",1394
2,"[16, 16]",1398
2,"[17, 33]",1413
1,[21],1422
3,"[23, 17, 5]",1428
82,"[14, 35, 3, 13, 31, 13, 20, 10, 28, 24, 8, 13, 10, 14, 10, 3, 21, 14, 17, 29, 34, 30, 27, 2, 14, 6, 21, 22, 36, 26, 9, 7, 25, 27, 25, 32, 26, 25, 18, 30, 3, 31, 8, 12, 25, 33, 15, 15, 0, 19, 3, 10, 22, 29, 22, 3, 11, 1, 30, 22, 36, 1, 10, 5, 6, 27, 17, 37, 34, 27, 6, 1, 15, 34, 21, 3, 3, 11, 0, 16, 20, 2]",1434
1,[30],1436
1,[31],1444
2,"[24, 27]",1450
1,[28],1458
3,"[22, 2, 20]",1468
1,[35],1476
1,[37],1482
1,[28],1490
1,[35],1496
1,[15],1506
1,[15],1517
1,[29],1525
1,[25],1534
1,[9],1544
7,"[5, 4, 8, 6, 2, 9, 3]",1553
1,[16],1564
1,[17],1572
1,[37],1583
1,[36],1592
2,"[28, 1]",1601
1,[34],1608
1,[30],1618
1,[17],1630
1,[13],1639
6,"[33, 26, 34, 23, 17, 27]",1646
1,[36],1656
1,[30],1662
2,"[19, 37]",1674
1,[29],1683
1,[34],1690
2,"[14, 14]",1696
1,[26],1709
1,[32],1721
1,[1],1728
1,[15],1734
1,[8],1743
1,[30],1747
1,[36],1756
1,[19],1762
2,"[23, 22]",1769
1,[2],1779
1,[25],1789
1,[21],1795
1,[34],1803
2,"[27, 27]",1813
3,"[29, 37, 2]",1821
1,[36],1830
1,[2],1837
1,[9],1845
1,[22],1848
1,[3],1851
1,[16],1862
2,"[37, 13]",1870
1,[22],1873
3,"[2, 2, 2]",1878
2,"[3, 16]",1883
1,[15],1887
5,"[9, 16, 17, 9, 9]",1892
1,[3],1897
1,[16],1900
2,"[16, 3]",1907
2,"[18, 34]",1910
4,"[7, 36, 18, 26]",1919
1,[15],1926
1,[25],1932
1,[27],1939
1,[4],1945
1,[23],1950
1,[3],1955
2,"[17, 23]",1961
5,"[35, 15, 35, 9, 15]",1966
1,[18],1971
1,[9],1976
5,"[4, 3, 2, 8, 5]",1980
1,[28],1993
1,[36],1999
6,"[27, 24, 28, 27, 18, 27]",2003
1,[23],2012
3,"[27, 28, 34]",2019
6,"[0, 1, 3, 2, 6, 4]",2025
9,"[21, 25, 22, 36, 7, 25, 32, 23, 37]",2031
2,"[25, 27]",2035
3,"[23, 23, 23]",2044
1,[23],2052
3,"[27, 28, 34]",2067
1,[24],2070
1,[20],2073
1,[36],2079
1,[7],2080
2,"[6, 6]",2082
2,"[35, 33]",2087
1,[16],2093
1,[16],2101
2,"[7, 7]",2109
1,[28],2115
1,[24],2124
1,[32],2133
1,[27],2138
5,"[2, 4, 4, 29, 15]",2144
7,"[11, 29, 11, 29, 11, 29, 11]",2150
1,[24],2161
1,[19],2167
1,[16],2175
2,"[10, 10]",2180
2,"[11, 10]",2187
2,"[12, 12]",2195
2,"[27, 27]",2199
1,[31],2202
1,[0],2207
11,"[22, 22, 8, 8, 22, 12, 12, 12, 22, 8, 22]",2213
1,[20],2216
3,"[20, 27, 25]",2224
2,"[37, 16]",2231
3,"[14, 14, 14]",2235
10,"[23, 31, 31, 29, 17, 31, 24, 3, 1, 35]",2240
2,"[24, 28]",2246
1,[16],2248
1,[3],2253
2,"[28, 18]",2256
1,[11],2260
2,"[30, 27]",2269
5,"[17, 2, 9, 13, 13]",2277
2,"[17, 13]",2282
7,"[17, 27, 25, 17, 17, 25, 36]",2287
2,"[21, 29]",2291
2,"[1, 1]",2296
1,[17],2301
1,[2],2306
1,[27],2314
1,[1],2322
1,[33],2327
2,"[7, 21]",2332
1,[36],2337
4,"[11, 4, 11, 11]",2345
2,"[33, 33]",2349
7,"[17, 36, 17, 23, 11, 18, 1]",2354
2,"[23, 25]",2360
4,"[32, 32, 32, 32]",2362
2,"[18, 28]",2371
1,[35],2376
1,[21],2383
1,[20],2388
1,[16],2389
2,"[3, 3]",2394
5,"[23, 18, 27, 25, 36]",2398
1,[30],2400
2,"[13, 15]",2404
2,"[4, 4]",2408
