Terms,docFreq,postList
abad,2,"[2, 29]"
acara,2,"[30, 30]"
ada,9,"[10, 11, 6, 35, 14, 4, 28, 35, 36]"
adalah,7,"[37, 33, 15, 18, 27, 35, 30]"
adrenalin,2,"[9, 17]"
advanture,1,[34]
agama,1,[1]
agendakan,1,[7]
agro,3,"[32, 32, 18]"
air,20,"[13, 16, 13, 24, 31, 30, 37, 21, 13, 13, 30, 23, 17, 21, 19, 5, 3, 21, 19, 17]"
airnya,1,[17]
aja,1,[4]
ajak,1,[13]
akan,6,"[34, 35, 21, 14, 23, 17]"
akhir,3,"[9, 33, 34]"
akomodasi,1,[27]
akses,1,[13]
aktivitas,1,[28]
ala,1,[9]
alam,7,"[30, 0, 30, 30, 33, 16, 31]"
alami,3,"[16, 30, 34]"
alas,1,[14]
all,1,[4]
alternatif,1,[30]
aman,1,[27]
ambarawa,15,"[20, 20, 30, 20, 20, 26, 22, 26, 12, 26, 12, 26, 12, 26, 12]"
anak,11,"[18, 17, 23, 23, 27, 27, 9, 24, 36, 36, 5]"
and,2,"[18, 34]"
anda,7,"[31, 21, 29, 29, 16, 16, 21]"
aneka,4,"[32, 16, 27, 5]"
angin,1,[15]
angklung,1,[16]
antar,1,[29]
antara,2,"[18, 16]"
antaranya,1,[15]
antik,2,"[35, 33]"
apa,2,"[3, 4]"
api,3,"[20, 20, 20]"
area,6,"[24, 29, 31, 30, 22, 36]"
aren,2,"[16, 37]"
arena,1,[23]
argo,5,"[17, 17, 17, 17, 17]"
arsitekstunya,1,[35]
arsitektur,2,"[26, 35]"
artinya,1,[29]
asalnya,1,[15]
asli,2,"[7, 15]"
aspal,1,[27]
assumpta,1,[12]
asyik,1,[11]
atap,1,[2]
atas,3,"[21, 6, 20]"
atau,6,"[3, 10, 25, 28, 21, 37]"
atraksi,2,"[16, 16]"
atv,4,"[10, 28, 34, 24]"
awal,1,[1]
ayo,2,"[5, 14]"
ayoo,1,[5]
ayunan,1,[14]
b,1,[35]
bag,1,[10]
bagai,1,[34]
bagaikan,1,[19]
bagaimana,1,[10]
bagi,7,"[31, 36, 28, 22, 27, 27, 36]"
bagian,4,"[2, 2, 22, 21]"
bahan,1,[16]
bahasa,2,"[29, 19]"
bahkan,1,[12]
baik,1,[21]
bakal,1,[7]
baladewa,1,[37]
balemong,4,"[35, 35, 35, 35]"
bambu,2,"[21, 16]"
ban,1,[10]
banaran,5,"[18, 18, 18, 18, 18]"
bandungan,6,"[7, 15, 28, 28, 28, 34]"
banget,1,[9]
bangsa,1,[26]
bangunan,5,"[29, 33, 27, 26, 20]"
bantalan,1,[10]
banyak,8,"[11, 34, 11, 28, 28, 4, 22, 36]"
banyu,1,[30]
banyubiru,3,"[25, 14, 2]"
banyukuning,1,[15]
barang,2,"[26, 35]"
barat,2,"[17, 3]"
bareng,2,"[9, 5]"
baru,2,"[14, 13]"
basah,1,[6]
basahan,1,[6]
batur,2,"[10, 10]"
bawah,1,[24]
bawen,4,"[9, 18, 32, 18]"
bebatuan,1,[16]
beberapa,4,"[16, 9, 18, 23]"
beda,1,[21]
begitu,1,[2]
belanda,1,[20]
beliau,1,[1]
benang,2,"[19, 19]"
benih,1,[32]
bentang,1,[16]
bentuk,1,[26]
berada,5,"[34, 5, 27, 14, 15]"
beragam,2,"[16, 15]"
berarti,1,[29]
berasal,2,"[37, 29]"
berbagai,6,"[1, 27, 36, 24, 26, 28]"
berbalut,1,[33]
berbasis,1,[1]
berbau,1,[17]
berbeda,2,"[23, 21]"
bercocok,1,[16]
berdakwah,1,[1]
berdasarkan,1,[2]
berdekatan,1,[37]
berdirinya,1,[1]
berdoa,2,"[8, 22]"
berenang,1,[5]
berfoto,2,"[3, 14]"
berjarak,2,"[30, 25]"
berjauhan,1,[29]
berjuang,1,[26]
berkelok,1,[27]
berkemah,2,"[0, 29]"
berkonsep,1,[34]
berkunjung,1,[30]
berlama,1,[25]
berliku,1,[21]
berlokasi,2,"[28, 19]"
bermain,3,"[18, 9, 13]"
bermotor,1,[13]
bernama,2,"[26, 36]"
bernuansa,1,[32]
berolahraga,1,[28]
berpusat,1,[18]
