attraction_id,nama,kota,id_kota,provinsi,category,total_review,total_rating,img,longitude,latitude,link_detail,adult_price,child_price
152,Trans Studio Bandung,Bandung,8,West Java,Others,"2,189",4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/64/01/8b/filename-photo0465-jpg.jpg?w=500&h=-1&s=1,107.6191228,-6.9174639,https://www.tripadvisor.com/Attraction_Review-g297704-d2305923-Reviews-Trans_Studio_Bandung-Bandung_West_Java_Java.html,100000,75000
640,City Raya World of Wonders Park,Hancock County,39,Illinois,Others,44,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/e7/3b/ed/city-raya-world-of-wonders.jpg?w=500&h=400&s=1,-91.1350199,40.4099895,https://www.tripadvisor.com/Attraction_Review-g1493703-d7269000-Reviews-City_Raya_World_of_Wonders_Park-Tangerang_Banten_Province_Java.html,110000,85000
418,Hillpark Sibolangit,Kabupaten Deli Serdang,61,Sumatera Utara,Others,89,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/16/44/a8/img-20180527-135111-largejpg.jpg?w=500&h=-1&s=1,98.5567064,3.2803575,https://www.tripadvisor.com/Attraction_Review-g297725-d3138425-Reviews-Hillpark_Sibolangit-Medan_North_Sumatra_Sumatra.html,120000,95000
1135,Saloka Theme Park,Kabupaten Semarang,85,Jawa Tengah,Others,15,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/81/38/b5/saloka-memiliki-25-wahana.jpg?w=500&h=-1&s=1,110.458481,-7.2803431,https://www.tripadvisor.com/Attraction_Review-g297712-d15699885-Reviews-Saloka_Theme_Park-Semarang_Central_Java_Java.html,100000,75000
679,Pandawa Water World,Kabupaten Sukoharjo,91,Jawa Tengah,Others,77,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/dc/d1/34/dsc-1275-largejpg.jpg?w=500&h=400&s=1,110.8039953,-7.6054807,https://www.tripadvisor.com/Attraction_Review-g297713-d3974844-Reviews-Pandawa_Water_World-Solo_Central_Java_Java.html,70000,45000
728,Funworld Nagoyawalk Batam,Kota Batam,112,Kepulauan Riau,Others,69,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/16/86/b3/img20180218153502-largejpg.jpg?w=500&h=-1&s=1,104.0072011,1.1439313,https://www.tripadvisor.com/Attraction_Review-g297717-d7738119-Reviews-Funworld_Nagoya_Citywalk_Batam-Batam_Riau_Archipelago_Riau_Islands_Province.html,110000,85000
543,Jawa Timur Park 2,Kota Batu,113,Jawa Timur,Others,713,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/8f/f5/1d/taman-rekreasi-jawa-timur.jpg?w=500&h=-1&s=1,112.5295442,-7.888021,https://www.tripadvisor.com/Attraction_Review-g1237079-d3317160-Reviews-Jawa_Timur_Park_2-Batu_East_Java_Java.html,80000,55000
544,Batu Eco Green Park Fun & Study,Kota Batu,113,Jawa Timur,Others,467,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/a7/5a/c0/batu-eco-green-park-fun.jpg?w=500&h=-1&s=1,112.5266102,-7.8877752,https://www.tripadvisor.com/Attraction_Review-g1237079-d3972005-Reviews-Batu_Eco_Green_Park_Fun_Study-Batu_East_Java_Java.html,120000,95000
546,Batu Night Spectacular (BNS),Kota Batu,113,Jawa Timur,Others,"1,029",3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/32/14/c6/batu-night-spectacular.jpg?w=500&h=400&s=1,112.5345306,-7.8965273,https://www.tripadvisor.com/Attraction_Review-g1237079-d2312021-Reviews-Batu_Night_Spectacular_BNS-Batu_East_Java_Java.html,100000,75000
547,Jawa Timur Park 1,Kota Batu,113,Jawa Timur,Others,317,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ff/ee/b4/tampak-depan-jawa-timur.jpg?w=500&h=-1&s=1,112.5248269,-7.884152,https://www.tripadvisor.com/Attraction_Review-g1237079-d3291951-Reviews-Jawa_Timur_Park_1-Batu_East_Java_Java.html,110000,85000
549,Jawa Timur Park 3,Kota Batu,113,Jawa Timur,Others,210,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/90/27/32/p-20171124-170853-vhdr.jpg?w=500&h=-1&s=1,112.5531027,-7.8971338,https://www.tripadvisor.com/Attraction_Review-g1237079-d13271957-Reviews-Jawa_Timur_Park_3-Batu_East_Java_Java.html,120000,95000
823,Trans Snow World Juanda,Kota Bekasi,114,Jawa Barat,Others,13,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/6b/ea/c1/trans-snow-world.jpg?w=500&h=400&s=1,107.0166981,-6.2496712,https://www.tripadvisor.com/Attraction_Review-g297705-d17337955-Reviews-Trans_Snow_World_Juanda-Bekasi_West_Java_Java.html,100000,75000
983,Trans Studio Mini,Kota Bogor,116,Jawa Barat,Others,5,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/74/81/e1/swinged-merry-go-round.jpg?w=500&h=-1&s=1,106.7757862,-6.5559177,https://www.tripadvisor.com/Attraction_Review-g303950-d15039983-Reviews-Trans_Studio_Mini-Banjarmasin_South_Kalimantan_Kalimantan.html,100000,75000
246,Beautiful Indonesia in Miniature Park,Kota Jakarta Timur,123,Daerah Khusus Ibukota Jakarta,Others,"2,296",4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/de/ae/62/taman-mini-indonesia.jpg?w=500&h=400&s=1,106.8915948,-6.304526,https://www.tripadvisor.com/Attraction_Review-g294229-d379330-Reviews-Beautiful_Indonesia_in_Miniature_Park-Jakarta_Java.html,80000,55000
123,Trans Studio Makassar,Kota Makassar,128,Sulawesi Selatan,Others,579,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/ef/2c/bc/1463325491828-largejpg.jpg?w=500&h=400&s=1,119.3946179,-5.1586857,https://www.tripadvisor.com/Attraction_Review-g297720-d2716851-Reviews-Trans_Studio_Makassar-Makassar_South_Sulawesi_Sulawesi.html,110000,85000
680,Sriwedari Park,Kota Surakarta,139,Jawa Tengah,Others,84,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/e2/7a/08/photo0jpg.jpg?w=500&h=-1&s=1,110.8129954,-7.5685651,https://www.tripadvisor.com/Attraction_Review-g297713-d8445272-Reviews-Sriwedari_Park-Solo_Central_Java_Java.html,100000,75000
317,Taman Pintar Science Park,Kota Yogyakarta,143,Daerah Istimewa Yogyakarta,Others,469,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/26/db/d6/taman-pintar-yogyakarta.jpg?w=500&h=-1&s=1,110.3676551,-7.8006715,https://www.tripadvisor.com/Attraction_Review-g14782503-d3513937-Reviews-Taman_Pintar_Science_Park-Yogyakarta_Yogyakarta_Region_Java.html,70000,45000
